maturity,row,adj_r2,nobs,b_F1,t_F1,b_F1_cu,t_F1_cu,b_F2,t_F2,b_F3,t_F3,b_F4,t_F4,b_F8,t_F8,b_CP_t,t_CP_t,b_F5,t_F5,b_F6,t_F6
3,e,0.23630120819407907,211,0.005078043419566118,1.815460424388058,-4.726885112359641e-05,-1.299391385820815,,,-0.0008894748113187577,-1.0958170871672863,0.006147860676313552,1.7890006290490847,-4.30945299167988e-05,-0.04670232432757412,0.5560147237504072,1.6818374284658797,,,,
3,f,0.009951873979798243,211,,,,,,,,,,,,,,,-0.002495264865212705,-1.7673363844570738,,
3,g,-0.004441223214815215,211,,,,,,,,,,,,,,,,,-0.0003807873686106331,-0.31404347899490176
3,h,0.16646573901347217,211,,,,,,,,,,,,,1.2236693640209402,3.220585505992553,-0.00016994222418550845,-0.19484447032542054,,
4,a,0.19749555102096972,211,,,,,,,,,,,,,1.8876197977246725,3.197039409199504,,,,
4,b,0.22202279308706452,211,0.006340148707093374,1.5928113425161061,-3.313125551878376e-05,-0.665318154458512,-0.003914816337863045,-1.0066028310694914,-0.0010251181951146026,-0.9447078374552758,0.012674055879200893,2.817909405762789,-0.0003053534518414389,-0.24980141480870233,,,,,,
4,c,0.246276386356297,211,0.005668431455756937,1.5289631209138932,-3.2502309275766e-05,-0.7295303086389179,-0.0028556202005095444,-0.7257626499414397,-0.00105919031924483,-1.0386520056826853,0.00818536492399999,1.6250055146618532,-0.00014983650479363696,-0.10685367273545593,0.959371395136555,1.8639756578962783,,,,
4,d,0.20934288866556405,211,0.007319004633215047,1.525016086732192,-6.878959226276138e-05,-1.0792189345442011,,,-0.0012139084985927692,-1.0726806419034989,0.012370401013359577,2.8448623103483217,-0.0002963538460622095,-0.23376984872676182,,,,,,
4,e,0.24152825209685713,211,0.006277506519211015,1.447207007502057,-5.7361396856187325e-05,-1.0308645772061606,,,-0.001194995711383802,-1.1399496925422323,0.007470117455403552,1.6730076090460801,-0.00012611908438250923,-0.09414626947474398,1.0668684404309454,2.2548089673991294,,,,
4,f,0.01072920163360247,211,,,,,,,,,,,,,,,-0.00365553976703538,-1.718291371623222,,
4,g,-0.004635812761197178,211,,,,,,,,,,,,,,,,,-0.0003579530639650089,-0.20646928412891213
4,h,0.19364327032385975,211,,,,,,,,,,,,,1.8847446983725742,3.3368161052675025,-7.398444781050117e-05,-0.05700430995134313,,
5,a,0.21204964772071888,211,,,,,,,,,,,,,2.4977863952051944,3.2192014508083804,,,,
5,b,0.20467971391465978,211,0.007300909369579958,1.3188811802283664,-3.6953352712440536e-05,-0.5380733504483824,-0.004879272900384203,-0.9584793907686042,-0.0013113433108269666,-0.9424278525396306,0.015809894158670713,2.708081744604833,-0.0005283166298332783,-0.3425408946202979,,,,,,
5,c,0.24220872609821098,211,0.006258013789631685,1.2224359786954349,-3.597686259615591e-05,-0.5904064963365713,-0.0032347848844124037,-0.630159876891795,-0.001364243050388768,-1.0972599200740543,0.00884083694357123,1.4038701024767497,-0.0002868639406839082,-0.15937265059494687,1.4895019973450652,2.221128731614881,,,,
5,d,0.1928916818637425,211,0.008520916844135721,1.2990937361717139,-8.139649924396772e-05,-0.9416625139585008,,,-0.0015466441096683185,-1.0968731419255335,0.015431430693184593,2.7581549309258184,-0.0005170998756351243,-0.31259820221456996,,,,,,
5,e,0.23929096267259986,211,0.006947960866060903,1.173197745032336,-6.413670007422268e-05,-0.8527764380084271,,,-0.0015180804653348325,-1.2227740336353075,0.008030620059821471,1.474996558021008,-0.0002599973591161238,-0.1496190461924669,1.6112723284189432,2.6204726585955043,,,,
5,f,0.010216803349785586,211,,,,,,,,,,,,,,,-0.004594220726540167,-1.642537315778434,,
5,g,-0.004754921385374367,211,,,,,,,,,,,,,,,,,-0.00020456854384340816,-0.0933796249959829
5,h,0.2082793083222334,211,,,,,,,,,,,,,2.504176379464847,3.3727445333716446,0.00016443238965853065,0.09610451801680389,,
