observation_date,PITGCG01DEM661N
2004-12-01,86.4161135485145
2005-01-01,86.4161135485145
2005-02-01,86.4161135485145
2005-03-01,86.5027896904889
2005-04-01,86.4161135485145
2005-05-01,86.4161135485145
2005-06-01,86.5027896904889
2005-07-01,86.5027896904889
2005-08-01,86.5894658324634
2005-09-01,86.9361704003611
2005-10-01,87.0228465423356
2005-11-01,87.1095226843100
2005-12-01,87.1961988262844
2006-01-01,87.1961988262844
2006-02-01,87.2828749682589
2006-03-01,87.3695511102333
2006-04-01,87.6295795361566
2006-05-01,87.6295795361566
2006-06-01,87.8029318201055
2006-07-01,87.8896079620800
2006-08-01,87.9762841040544
2006-09-01,87.9762841040544
2006-10-01,88.2363125299777
2006-11-01,88.1496363880033
2006-12-01,88.2363125299777
2007-01-01,88.1496363880033
2007-02-01,88.3229886719521
2007-03-01,88.3229886719521
2007-04-01,88.4096648139266
2007-05-01,88.5830170978754
2007-06-01,88.9297216657732
2007-07-01,89.2764262336710
2007-08-01,89.7964830855176
2007-09-01,90.1431876534153
2007-10-01,90.7499206472364
2007-11-01,90.8365967892108
2007-12-01,91.0099490731597
2008-01-01,91.6166820669808
2008-02-01,91.9633866348785
2008-03-01,92.1367389188274
2008-04-01,92.1367389188274
2008-05-01,92.2234150608018
2008-06-01,92.4834434867252
2008-07-01,93.0035003385718
2008-08-01,93.2635287644951
2008-09-01,93.2635287644951
2008-10-01,93.1768526225206
2008-11-01,92.6567957706740
2008-12-01,92.1367389188274
2009-01-01,91.7900343509296
2009-02-01,91.7900343509296
2009-03-01,91.6166820669808
2009-04-01,91.7033582089552
2009-05-01,91.6166820669808
2009-06-01,91.7033582089552
2009-07-01,91.7033582089552
2009-08-01,91.7033582089552
2009-09-01,91.5300059250063
2009-10-01,91.3566536410575
2009-11-01,91.5300059250063
2009-12-01,91.6166820669808
2010-01-01,91.7033582089552
2010-02-01,91.7961753731343
2010-03-01,91.7961753731343
2010-04-01,91.9818097014925
2010-05-01,92.5387126865672
