STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2003-11,96.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2003-12,96.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2004-01,93.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2004-02,93.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2004-03,93.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2004-04,93.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2004-05,93.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2004-06,93.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2004-07,92.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2004-08,92.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2004-09,92.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2004-10,92.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2004-11,92.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2004-12,92.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2005-01,94.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2005-02,94.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2005-03,94.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2005-04,94.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2005-05,94.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2005-06,94.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2005-07,93.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2005-08,94.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2005-09,93.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2005-10,93.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2005-11,93.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2005-12,93.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2006-01,93.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2006-02,93.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2006-03,93.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2006-04,93.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2006-05,93.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2006-06,93.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2006-07,93.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2006-08,93.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2006-09,93.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2006-10,93.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2006-11,93.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2006-12,93.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2007-01,93.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2007-02,93.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2007-03,93.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2007-04,94.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2007-05,94.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2007-06,94.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2007-07,95.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2007-08,95.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2007-09,94.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2007-10,94.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2007-11,94.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2007-12,95.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2008-01,95.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2008-02,95.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2008-03,95.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2008-04,95.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2008-05,95.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2008-06,95.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2008-07,95.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2008-08,94.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2008-09,95.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2008-10,95.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2008-11,94.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2008-12,94.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2009-01,91.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2009-02,91.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2009-03,90.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2009-04,90.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2009-05,90.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2009-06,90.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2009-07,90.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2009-08,90.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2009-09,89.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2009-10,89.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2009-11,89.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2009-12,89.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2010-01,89.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2010-02,89.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2010-03,89.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2010-04,89.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2010-05,89.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2010-06,90.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2010-07,90.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2010-08,90.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2010-09,90.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2010-10,90.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2010-11,90.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2010-12,90.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2011-01,91.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2011-02,91.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2011-03,91.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2011-04,91.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2011-05,91.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2011-06,91.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2011-07,91.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2011-08,92.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2011-09,92.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2011-10,92.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2011-11,92.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2011-12,92.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2012-01,93.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2012-02,93.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2012-03,93.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2012-04,93.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2012-05,93.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2012-06,93.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2012-07,93.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2012-08,93.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2012-09,93.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2012-10,93.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2012-11,93.6,i,
