observation_date,DEUODMNTO01IXOBSAM
1982-08-01,43.3404521223867
1982-09-01,42.7688154636982
1982-10-01,43.0806172775283
1982-11-01,44.9514281605090
1982-12-01,47.1340408573198
1983-01-01,48.7450168954421
1983-02-01,44.0160227190186
1983-03-01,44.8474942225656
1983-04-01,44.7435602846223
1983-05-01,44.6915933156506
1983-06-01,46.1986354158295
1983-07-01,45.1592960363957
1983-08-01,45.6269987571409
1983-09-01,46.7702720745180
1983-10-01,47.6537105470367
1983-11-01,48.7969838644138
1983-12-01,49.1607526472156
1984-01-01,49.1607526472156
1984-02-01,49.5764883989891
1984-03-01,49.1607526472156
1984-04-01,48.5371490195554
1984-05-01,49.3166535541307
1984-06-01,45.0033951294807
1984-07-01,49.3166535541307
1984-08-01,49.4725544610457
1984-09-01,50.1481250576777
1984-10-01,50.7717286853379
1984-11-01,50.2000920266494
1984-12-01,52.4346716924319
1985-01-01,52.1228698786018
1985-02-01,51.5512332199132
1985-03-01,51.6551671578566
1985-04-01,51.9669689716867
1985-05-01,52.4346716924319
1985-06-01,51.9150020027150
1985-07-01,53.0582753200921
1985-08-01,51.3953323129982
1985-09-01,51.4472992819698
1985-10-01,52.9023744131771
1985-11-01,53.3700771339222
1985-12-01,52.3827047234602
1986-01-01,53.0582753200921
1986-02-01,52.9023744131771
1986-03-01,52.1748368475734
1986-04-01,52.8504074442054
1986-05-01,52.7984404752337
1986-06-01,52.7984404752337
1986-07-01,53.0582753200921
1986-08-01,51.4472992819698
1986-09-01,51.2394314060831
1986-10-01,51.7071341268283
1986-11-01,51.1874644371114
1986-12-01,51.4992662509415
1987-01-01,50.3559929335644
1987-02-01,51.3953323129982
1987-03-01,50.4079599025361
1987-04-01,52.6425395683186
1987-05-01,51.6551671578566
1987-06-01,51.5512332199132
1987-07-01,51.9669689716867
1987-08-01,54.2535156064409
1987-09-01,53.1102422890638
1987-10-01,53.7338459167241
1987-11-01,53.4220441028939
1987-12-01,52.2268038165451
1988-01-01,53.6818789477524
1988-02-01,54.3574495443843
1988-03-01,53.7338459167241
1988-04-01,55.0330201410162
1988-05-01,55.3448219548463
1988-06-01,56.1762934583933
1988-07-01,56.7998970860536
1988-08-01,57.3195667757704
1988-09-01,57.1116988998837
1988-10-01,56.2802273963367
1988-11-01,57.4754676826855
1988-12-01,59.2423446277228
1989-01-01,56.8518640550253
1989-02-01,58.8266088759494
1989-03-01,60.3336509761283
1989-04-01,61.9965939832222
1989-05-01,59.5021794725813
1989-06-01,61.2170894486470
1989-07-01,60.8533206658451
1989-08-01,60.0218491622982
1989-09-01,61.2170894486470
1989-10-01,59.9179152243548
1989-11-01,61.1131555107036
1989-12-01,64.6988763697500
1990-01-01,60.1257831002415
1990-02-01,61.0092215727602
1990-03-01,61.9965939832222
1990-04-01,61.5288912624771
1990-05-01,62.7241315488259
1990-06-01,62.4642967039674
1990-07-01,63.8674048662030
1990-08-01,65.4783809043253
1990-09-01,66.2059184699289
1990-10-01,66.7775551286174
1990-11-01,64.5949424318066
1990-12-01,64.8028103076933
1991-01-01,66.3228848765799
1991-02-01,63.4094764969885
1991-03-01,64.5234267597734
1991-04-01,62.9810340882251
1991-05-01,62.4669031977090
1991-06-01,63.4951649787412
1991-07-01,61.9527723071928
1991-08-01,65.2946230955476
1991-09-01,62.0384607889455
1991-10-01,63.3237880152358
1991-11-01,64.4377382780207
1991-12-01,65.1232461320423
1992-01-01,64.4377382780207
1992-02-01,64.6948037232788
1992-03-01,64.0949843510100
1992-04-01,62.2098377524509
1992-05-01,60.8388220444079
1992-06-01,59.5534948181176
1992-07-01,58.1824791100746
1992-08-01,58.6966100005907
1992-09-01,59.1250524093541
1992-10-01,55.7832016209993
1992-11-01,56.3830209932682
1992-12-01,57.5826597378058
1993-01-01,56.6400864385262
1993-02-01,54.9263168034725
1993-03-01,53.7266780589349
1993-04-01,53.8980550224402
1993-05-01,55.0976937669778
1993-06-01,54.3264974312037
1993-07-01,54.9263168034725
1993-08-01,54.6692513582144
1993-09-01,56.8971518837843
1993-10-01,56.2116440297628
1993-11-01,56.2116440297628
1993-12-01,58.3538560735800
1994-01-01,55.6118246574940
1994-02-01,57.4112827743004
1994-03-01,59.2964293728595
1994-04-01,59.0393639276015
1994-05-01,58.2681675918273
1994-06-01,59.8105602633756
1994-07-01,59.4678063363649
1994-08-01,58.9536754458488
1994-09-01,61.6100183801821
1994-10-01,62.1241492706982
