STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2009-09,98.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2009-10,98.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2009-11,98.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2009-12,97.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2010-01,96.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2010-02,96.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2010-03,96.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2010-04,96.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2010-05,96.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2010-06,96.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2010-07,96.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2010-08,96.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2010-09,96.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2010-10,97.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2010-11,97.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2010-12,97.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2011-01,97.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2011-02,98.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2011-03,98.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2011-04,98.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2011-05,99.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2011-06,99.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2011-07,99.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2011-08,99.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2011-09,100.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2011-10,100.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2011-11,100.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2011-12,100.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2012-01,100.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2012-02,100.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2012-03,101.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2012-04,100.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2012-05,100.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2012-06,100.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2012-07,100.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2012-08,101.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2012-09,100.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2012-10,101.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2012-11,100.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2012-12,100.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2013-01,100.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2013-02,100.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2013-03,100.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2013-04,100.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2013-05,100.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2013-06,100.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2013-07,100.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2013-08,99.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2013-09,100.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2013-10,100.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2013-11,99.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2013-12,99.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2014-01,99.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2014-02,99.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2014-03,99.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2014-04,99.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2014-05,99.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2014-06,99.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2014-07,99.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2014-08,98.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2014-09,99.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2014-10,99.1,i,
